source,target,peso,author_channel_id,video_id,autor,video
a:UC-HeUTT6_g-VoiWds2a4H-w,v:6W4u8sGEnGM,1,UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,@JorgeMunoz-gd9et,Inician los trabajos de recuperación del Puente Belice II.
a:UC-Iul5tDYH_oiAMXQH-KaaQ,v:6W4u8sGEnGM,1,UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,@AlbertoMancilla-p9h,Inician los trabajos de recuperación del Puente Belice II.
a:UC-QOpE7GOxlXcHZ8b7HbQKA,v:OkXlHx0hx-8,2,UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,@mariaalexander427,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
a:UC-fiZBS5Gp1eCJd9ucgWnCg,v:j43HgwYFKfk,1,UC-fiZBS5Gp1eCJd9ucgWnCg,j43HgwYFKfk,@Tommii.10,La cooptación de Walter Mazariegos en la USAC
a:UC-hfX8J5JPJ-dfuakzegMLA,v:n8iP75gIpmw,1,UC-hfX8J5JPJ-dfuakzegMLA,n8iP75gIpmw,@normaleticiaorozcojuarez2418,Qué rico come tu diputado
a:UC-jS_kA9w-OmpupXDx156Rg,v:n8iP75gIpmw,1,UC-jS_kA9w-OmpupXDx156Rg,n8iP75gIpmw,@simoncreyesc7579,Qué rico come tu diputado
a:UC-pNP6RMFuLg_-x7Ah_0kEA,v:n8iP75gIpmw,1,UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,@almacatalan2717,Qué rico come tu diputado
a:UC094EFEmMSdwVa8NQjjYBXg,v:b_Hkrkl3adA,1,UC094EFEmMSdwVa8NQjjYBXg,b_Hkrkl3adA,@CelestinoQuej-j7k,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales
a:UC0HvfEWozTHbwl_iEmJNvVA,v:6W4u8sGEnGM,1,UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,@OttoPalencia-b7r,Inician los trabajos de recuperación del Puente Belice II.
a:UC0RpuMwkDKJYqgKHtsJRuWQ,v:lj983NWyAQY,1,UC0RpuMwkDKJYqgKHtsJRuWQ,lj983NWyAQY,@sabinamarinaguerra3248,Plan 2032 Ciudad de Guatemala
a:UC0aEyakBPqcBkVJiErfSupQ,v:lj983NWyAQY,1,UC0aEyakBPqcBkVJiErfSupQ,lj983NWyAQY,@jhonymanuel9891,Plan 2032 Ciudad de Guatemala
a:UC14qlobYKqD-DO0j6b75lcA,v:6W4u8sGEnGM,1,UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,@megavision4488,Inician los trabajos de recuperación del Puente Belice II.
a:UC1DpqK6vaPEkBOMNvypsKYg,v:j43HgwYFKfk,1,UC1DpqK6vaPEkBOMNvypsKYg,j43HgwYFKfk,@HectorCarranza-u4j4o,La cooptación de Walter Mazariegos en la USAC
