video_id_1,video_id_2,autores_compartidos,video_1,video_2
j43HgwYFKfk,n8iP75gIpmw,2,La cooptación de Walter Mazariegos en la USAC,Qué rico come tu diputado
ndAZjHqzzT8,yLZS3JiEBg8,2,Internet: escoger el menos malo,Arroz con pollo a la MONOPOLIO
06mFNPU0aB8,6W4u8sGEnGM,1,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Inician los trabajos de recuperación del Puente Belice II.
6W4u8sGEnGM,PjmxCj-a9Hg,1,Inician los trabajos de recuperación del Puente Belice II.,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
PjmxCj-a9Hg,n8iP75gIpmw,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Qué rico come tu diputado
WIUZtitfLRw,ndAZjHqzzT8,1,Caminar en una ciudad hecha para carros,Internet: escoger el menos malo
WIUZtitfLRw,yLZS3JiEBg8,1,Caminar en una ciudad hecha para carros,Arroz con pollo a la MONOPOLIO
b_Hkrkl3adA,n8iP75gIpmw,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,Qué rico come tu diputado
is3Mk5oC19g,j43HgwYFKfk,1,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,La cooptación de Walter Mazariegos en la USAC
j43HgwYFKfk,ndAZjHqzzT8,1,La cooptación de Walter Mazariegos en la USAC,Internet: escoger el menos malo
n8iP75gIpmw,ndAZjHqzzT8,1,Qué rico come tu diputado,Internet: escoger el menos malo
