bigrama,frecuencia
presidente bernardo,9
bernardo arevalo,8
ciudad guatemala,6
nery rodas,5
bla bla,5
pacto corruptos,5
viva guatemala,4
busquen trabajo,4
todos proyectos,4
sería bueno,4
paguen sueldo,4
lleva años,4
dinero pueblo,4
comida nadie,4
guatemala saludos,4
muriendo hambre,4
hand purple,3
purple blue,3
blue peace,3
excelente trabajo,3
diputado nery,3
apoyo presidente,3
ley competencia,3
pagar dinero,3
libre mercado,3
dios bendiga,3
comunidad internacional,3
todas instituciones,3
pueblo paga,3
costillas pueblo,3
