node_id,tipo,etiqueta,grado,grado_ponderado,canal,categoria,visualizaciones,handle
v:-5puKGEqcUc,video,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,0,0,T13 Noticias Guatemala,News & Politics,2357,
v:-E7OPOLjMug,video,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,0,0,IDocumenta,People & Blogs,4,
v:-KDglrIzRKo,video,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,0,0,México Poder,People & Blogs,29736,
v:-O4Pa7qS9WQ,video,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",0,0,Guate Maya Trip,Nonprofits & Activism,383,
v:06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,13,14,Noti7,News & Politics,6692,
v:0LTLUY7LBlA,video,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",0,0,De viaje con Migue,Travel & Events,6099,
v:0a4_g1R1-aA,video,Acciones relevantes en el #Resumen24Horas,0,0,PNCdeGuatemala,Science & Technology,15455,
v:0b2vfzXdCqs,video,Cadena Nacional del presidente Bernardo Arévalo,0,0,Gobierno de la República de Guatemala,Entertainment,2725,
v:0eiVPMexNOo,video,CONRED se pronuncia tras sismos en el territorio nacional,0,0,TN23 Guatemala,News & Politics,1875,
v:0iQD8zHxZIg,video,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,0,0,Tras la Verdad SV,News & Politics,36701,
v:1-hr8eCOt_I,video,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,0,0,AztecaGuate,Entertainment,289,
v:1HQLJycvzaQ,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,0,Gobierno de la República de Guatemala,Entertainment,1175,
v:1kSG-naIgqk,video,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,0,0,Vicepresidencia Guate,Entertainment,48,
v:1w9faaYjhyU,video,Fundación de la República de Guatemala 21 marzo 1847,0,0,El profe de Historia Gt,People & Blogs,31697,
v:1y61Kb9uSbg,video,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,0,0,Ministerio de Gobernación,News & Politics,471,
v:1yHN9Ci7pXs,video,Municipalidad de Guatemala informa,0,0,Municipalidad de Guatemala,People & Blogs,1617,
v:2iqOSL9YguA,video,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,0,0,Guatevisión,Entertainment,5181,
v:2n31FhKmELI,video,TRÁFICO EN GUATEMALA,0,0,Fralis Maxiel Martinez,People & Blogs,512,
v:2p23yPpu6aQ,video,#Conred,0,0,Noticias-FA-Gt,People & Blogs,164,
v:3-jKER3zqcA,video,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,0,0,audioschileros,People & Blogs,70811,
v:3LAwISMokIg,video,MUNICIPALIDAD DE GUATEMALA 17/12/2025,0,0,Concejales de Oposición - Muni Guate,People & Blogs,294,
v:3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,2,Noticiero Guatevisión 13 Hrs.,News & Politics,573,
