video_1,video_2,titulo_1,titulo_2,autores_compartidos
ndAZjHqzzT8,yLZS3JiEBg8,Internet: escoger el menos malo,Arroz con pollo a la MONOPOLIO,2
j43HgwYFKfk,n8iP75gIpmw,La cooptación de Walter Mazariegos en la USAC,Qué rico come tu diputado,2
06mFNPU0aB8,6W4u8sGEnGM,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Inician los trabajos de recuperación del Puente Belice II.,1
PjmxCj-a9Hg,n8iP75gIpmw,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Qué rico come tu diputado,1
6W4u8sGEnGM,PjmxCj-a9Hg,Inician los trabajos de recuperación del Puente Belice II.,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,1
WIUZtitfLRw,ndAZjHqzzT8,Caminar en una ciudad hecha para carros,Internet: escoger el menos malo,1
WIUZtitfLRw,yLZS3JiEBg8,Caminar en una ciudad hecha para carros,Arroz con pollo a la MONOPOLIO,1
is3Mk5oC19g,j43HgwYFKfk,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,La cooptación de Walter Mazariegos en la USAC,1
b_Hkrkl3adA,n8iP75gIpmw,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,Qué rico come tu diputado,1
j43HgwYFKfk,ndAZjHqzzT8,La cooptación de Walter Mazariegos en la USAC,Internet: escoger el menos malo,1
n8iP75gIpmw,ndAZjHqzzT8,Qué rico come tu diputado,Internet: escoger el menos malo,1
