video_id,comentarios,autores,respuestas,me_gusta,title,channel_name,channel_id,view_count,category
n8iP75gIpmw,161,128,3,358,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,11775,News & Politics
j43HgwYFKfk,50,49,0,91,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,10156,News & Politics
6W4u8sGEnGM,45,32,11,90,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,11670,Entertainment
lj983NWyAQY,25,25,16,1697,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,304089,News & Politics
OkXlHx0hx-8,25,18,13,25,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,14200,News & Politics
PjmxCj-a9Hg,25,19,4,20,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,3628,Entertainment
yLZS3JiEBg8,16,16,0,13,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,1954,News & Politics
06mFNPU0aB8,14,13,1,12,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,6692,News & Politics
ndAZjHqzzT8,12,10,1,3,Internet: escoger el menos malo,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,717,News & Politics
b_Hkrkl3adA,7,7,1,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,5469,News & Politics
is3Mk5oC19g,7,7,1,0,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,UCt5Dw7ePnn0AqPqRF8Xpjkw,4616,News & Politics
WIUZtitfLRw,6,6,0,1,Caminar en una ciudad hecha para carros,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,422,News & Politics
TT4qJ5FXHYE,4,4,0,8,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,1075,News & Politics
JkpVO1hx2f8,3,3,0,4,10 Preguntas a un año del Paro Nacional,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,673,News & Politics
