video_id,comentarios,score_promedio,positivos,negativos,neutros,title
n8iP75gIpmw,161,-0.2515527950310559,15,40,106,Qué rico come tu diputado
j43HgwYFKfk,50,-0.01,12,11,27,La cooptación de Walter Mazariegos en la USAC
6W4u8sGEnGM,45,0.07777777777777778,13,10,22,Inician los trabajos de recuperación del Puente Belice II.
lj983NWyAQY,25,0.6,9,0,16,Plan 2032 Ciudad de Guatemala
PjmxCj-a9Hg,25,0.24,5,1,19,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
OkXlHx0hx-8,25,0.32,6,2,17,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
yLZS3JiEBg8,16,0.5,5,0,11,Arroz con pollo a la MONOPOLIO
06mFNPU0aB8,14,0.07142857142857142,2,1,11,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
ndAZjHqzzT8,12,0.4166666666666667,5,2,5,Internet: escoger el menos malo
is3Mk5oC19g,7,-0.14285714285714285,0,1,6,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu
b_Hkrkl3adA,7,0.0,1,1,5,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales
WIUZtitfLRw,6,0.6666666666666666,4,0,2,Caminar en una ciudad hecha para carros
TT4qJ5FXHYE,4,0.75,2,0,2,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres."
JkpVO1hx2f8,3,-0.3333333333333333,0,1,2,10 Preguntas a un año del Paro Nacional
3Nfp9h5avBI,2,-0.5,0,1,1,"Noticiero en Directo 1 pm, 28 de Agosto de 2026"
X_FAIef8qlE,1,0.0,0,0,1,Cruzando la ciudad a puro Transmetro
UhL9y3KUl8E,1,1.0,1,0,0,SHAI WA: la vecina queer de Casa Presidencial
s0eco-BofOs,1,0.0,0,0,1,¿Quiénes pagan más en Centroamérica?
zweosulrwA8,1,0.0,0,0,1,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2
